Category,Metric,Value,Unit,YoY Change,Notes
Company,Name,GreenGrid Industries,,,"Manufacturing & energy — 4,200 employees"
Company,Reporting Year,2024,,,FY2024 (Jan–Dec)
Company,Sector,Industrial Manufacturing,,,
Company,HQ,London UK,,,
Company,Revenue,2.4,£ billion,+8%,
Company,Employees,4200,headcount,+3%,

ENVIRONMENTAL,Scope 1 Emissions,18450,tCO2e,-11.2%,Includes fugitive emissions from refrigerants
ENVIRONMENTAL,Scope 2 Emissions (market-based),9820,tCO2e,-22.8%,100% renewable electricity certificates purchased
ENVIRONMENTAL,Scope 3 Emissions (partial),87400,tCO2e,-4.1%,Cat 1 & 11 measured; Cat 15 not yet quantified
ENVIRONMENTAL,Renewable Energy Mix,42,%,+7pp,Solar PV (on-site) + wind PPAs
ENVIRONMENTAL,Total Energy Consumption,184600,MWh,-6.3%,
ENVIRONMENTAL,Energy Intensity,43.95,MWh / £M revenue,-13.3%,vs 50.7 prior year
ENVIRONMENTAL,Water Withdrawal,312000,m3,-8.4%,Municipal supply + reclaimed water
ENVIRONMENTAL,Water Intensity,74.3,m3 / £M revenue,-15.3%,
ENVIRONMENTAL,Waste Generated,4820,tonnes,-5.1%,
ENVIRONMENTAL,Waste Diversion Rate,94,%,+3pp,Landfill diversion
ENVIRONMENTAL,Recycling Rate,78,%,+4pp,
ENVIRONMENTAL,Net-Zero Target Year,2038,,,SBTi-aligned pathway submitted
ENVIRONMENTAL,Interim 2030 Target,50,% reduction vs 2020 baseline,,Scope 1+2 absolute
ENVIRONMENTAL,Green CapEx,47,£ million,,9.1% of total CapEx
ENVIRONMENTAL,ISO 14001 Certified,Yes,,,All 6 manufacturing sites
ENVIRONMENTAL,CDP Climate Score,B,,Improved from B-,2024 submission

SOCIAL,Total Employees,4200,headcount,+3%,
SOCIAL,Women in Workforce,38,%,+2pp,
SOCIAL,Women in Senior Management,29,%,+3pp,
SOCIAL,Gender Pay Gap (median),12.4,%,-1.8pp,Reduction vs 2023
SOCIAL,TRIR (Safety Rate),0.38,per 200k hrs,-18.4%,
SOCIAL,Lost Time Injury Frequency Rate,0.14,per 200k hrs,-22.2%,Zero fatalities
SOCIAL,Employee Training Hours,42,avg hrs / employee,+6 hrs,
SOCIAL,Training Investment,3.2,£ million,+14%,
SOCIAL,Employee Engagement Score,74,%,+4pp,Annual survey
SOCIAL,Voluntary Turnover,8.2,%,-1.1pp,
SOCIAL,Apprenticeships & Graduates Hired,128,people,+18%,
SOCIAL,Community Investment,1.8,£ million,+12%,
SOCIAL,Supplier ESG Audits,94,%,+8pp,Tier 1 suppliers audited
SOCIAL,Living Wage Certified,Yes,,,UK Living Wage Foundation accreditation
SOCIAL,Modern Slavery Statement,Published,,,Annual TISC report submitted

GOVERNANCE,Board Size,10,directors,,7 independent; 3 executive
GOVERNANCE,Board Independence,70,%,,
GOVERNANCE,Female Directors,40,%,+10pp,4 of 10 directors
GOVERNANCE,Audit Committee Independence,100,%,,All independent NEDs
GOVERNANCE,ESG Committee Established,Yes,,,Board-level; quarterly meetings
GOVERNANCE,CEO Pay Ratio,38,:1,,vs median employee pay
GOVERNANCE,ESG Linked Executive Remuneration,25,%,,Of long-term incentive plan
GOVERNANCE,GRI Reporting Standard,GRI Standards 2021,,,Core option
GOVERNANCE,TCFD Aligned,Yes,,,Full TCFD disclosure
GOVERNANCE,ISSB IFRS S1 Aligned,In progress,,,Expected full compliance 2025
GOVERNANCE,Third-Party Assurance,Limited assurance,,,By PwC for Scope 1+2
GOVERNANCE,Anti-Corruption Policy,Yes,,,Annual mandatory training
GOVERNANCE,Whistleblower Reports,7,cases,,5 resolved; 2 under review
GOVERNANCE,Data Privacy Incidents,0,material breaches,,ISO 27001 certified
GOVERNANCE,Regulatory Fines,0,£,,"No environmental, labour or governance fines"
